	canny	fast	hessian	lbp	shape_index	structure
0	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.00091457 -0.0054315  -0.0062801  ..., -0.00833818 -0.00741869
 -0.00131275]"	[ 768.  768.  768. ...,    0.    0.    0.]	"[ 0.54117121  0.74645474  0.83862344 ...,  0.83418056  0.74867691
  0.54388263]"	"[ 0.0643875   0.07404374  0.0818822  ...,  0.14256411  0.12923788
  0.1123788 ]"
1	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.00698615 -0.04216394 -0.0470997  ..., -0.03065811 -0.02737527
 -0.00423589]"	[  0.   0.   0. ...,  24.  24.  24.]	"[ 0.53861284  0.73523742  0.81602798 ...,  0.81288663  0.73246958
  0.53564094]"	"[ 4.10599858  4.75940477  5.30471676 ...,  2.2806041   2.04374188
  1.7619953 ]"
2	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.00066305 -0.00310836 -0.00321444 ..., -0.00359865 -0.00582503
 -0.0025179 ]"	[ 256.  256.  256. ...,   56.   56.   32.]	"[ 0.5550004   0.7731834   0.86335092 ...,  0.67950408  0.75057844
  0.60828746]"	"[ 0.01841949  0.02015168  0.02133391 ...,  0.0895942   0.08125525
  0.06880388]"
3	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.00575841 -0.03226572 -0.03540128 ..., -0.00157707 -0.00154116
  0.00088982]"	[  0.   0.   0. ...,  48.  48.  48.]	"[ 0.5412036   0.73084431  0.80082648 ...,  0.60071895  0.59357121
  0.44409773]"	"[ 2.43904632  2.84862371  3.19230719 ...,  0.0555588   0.0436668
  0.03301447]"
4	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.00451467 -0.0179908  -0.01753709 ..., -0.00851353 -0.00941891
 -0.00288822]"	[  1.   1.   1. ...,  56.  48.  48.]	"[ 0.56642087  0.76358443  0.80514761 ...,  0.80643126  0.78729329
  0.58865277]"	"[ 0.56880161  0.64779016  0.71419541 ...,  0.16562342  0.15220775
  0.13506432]"
5	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.0011186  -0.0192626  -0.02672181 ..., -0.03133654 -0.02704607
 -0.00403618]"	[ 256.    0.    0. ...,   56.   56.   56.]	"[ 0.51249676  0.71306069  0.84801648 ...,  0.81022765  0.72288687
  0.53320737]"	"[ 0.9672407   1.13207303  1.2743282  ...,  2.38406367  2.12786581
  1.82146239]"
6	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[ -2.21346900e-05  -2.90937264e-03  -3.32146695e-03 ...,  -4.63691320e-03
  -1.23291846e-02  -7.14710050e-03]"	[ 769.  769.  769. ...,   40.   32.    8.]	"[ 0.50104137  0.63351382  0.67568919 ...,  0.64666872  0.81140341
  0.67580381]"	"[ 0.05047827  0.0607284   0.07331021 ...,  0.22233473  0.2150349
  0.19044854]"
7	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.00527507 -0.03296749 -0.03653021 ..., -0.03651822 -0.03293748
 -0.00525608]"	[ 513.  513.  513. ...,    0.    0.    0.]	"[ 0.53680222  0.73183853  0.80827128 ...,  0.80811593  0.73162051
  0.53666176]"	"[ 2.57224848  2.98373689  3.33944131 ...,  3.34311252  2.98642188
  2.57438572]"
8	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.00087328 -0.00575704 -0.00676338 ..., -0.01158588 -0.01009833
 -0.00170896]"	[ 513.  769.  769. ...,    0.    0.    0.]	"[ 0.52787933  0.68401557  0.76242078 ...,  0.80055945  0.72340744
  0.53803848]"	"[ 0.10042585  0.12412136  0.14045612 ...,  0.34199764  0.30126391
  0.25528303]"
9	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.01394522 -0.04293399 -0.04405045 ..., -0.0443098  -0.03889951
 -0.00577745]"	[   0.    0.  256. ...,    8.    8.   24.]	"[ 0.60647855  0.82533119  0.87823533 ...,  0.81170475  0.72830017
  0.53370178]"	"[ 2.06310823  2.26350139  2.29279765 ...,  4.7704838   4.25536805
  3.66082848]"
